outlet_scale,alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
0.1,central_front,1.6,0.8,-0.1,True,1604.4664563810127,1816.5866670638206,13.220607376314986
0.1,central_front,1.6,1.0,-0.3,True,1610.200725090753,1831.8428790774594,13.764877293432743
0.1,central_front,1.6,1.0,-0.18,True,1610.1003775060403,1831.46123432515,13.748264388459175
0.1,central_front,1.6,1.0,-0.1,True,1610.3185624177981,1831.5560433777327,13.738740030901697
0.11,equal,1.1,0.65,-0.3,True,1614.7265883164087,1825.9865201688544,13.083325275068125
0.11,equal,1.1,0.65,-0.18,True,1615.024167342491,1826.8728519558915,13.117369318503492
0.11,equal,1.1,0.65,-0.1,True,1614.807440059647,1827.1495701821038,13.149687377871722
0.11,equal,1.1,0.8,-0.3,True,1619.6869372308702,1839.5230464990113,13.5727531175863
0.11,equal,1.1,0.8,-0.18,True,1618.1223569176516,1840.565850479033,13.747013173040411
0.11,equal,1.1,0.8,-0.1,True,1618.7509602601012,1840.8041081222473,13.71756084249467
0.11,equal,1.1,1.0,-0.3,True,1630.5651677431788,1859.3668805201642,14.032049580309858
0.11,equal,1.1,1.0,-0.18,True,1630.5786215777684,1859.3499029960556,14.03006751044762
0.11,equal,1.1,1.0,-0.1,True,1630.2386591857621,1861.9567242484034,14.213751082211168
0.11,equal,1.35,0.65,-0.3,True,1614.7265883164087,1827.2904240254854,13.164076026685478
0.11,equal,1.35,0.65,-0.18,True,1615.024167342491,1828.5261709249562,13.219740478173847
0.11,equal,1.35,0.65,-0.1,True,1615.474045461329,1828.0483920090296,13.158635828593335
0.11,equal,1.35,0.8,-0.3,True,1620.0940037036846,1840.6248608134501,13.612225994640536
0.11,equal,1.35,0.8,-0.18,True,1618.6386893929944,1841.5160592961481,13.76943300340454
0.11,equal,1.35,0.8,-0.1,True,1618.8640879762609,1842.1630596288867,13.793558910295634
0.11,equal,1.35,1.0,-0.3,True,1631.5880704401704,1860.1872725722974,14.010840497899402
0.11,equal,1.35,1.0,-0.18,True,1631.3123708864903,1859.8678677189814,14.010529246969972
0.11,equal,1.35,1.0,-0.1,True,1631.4813725860906,1861.9567242484034,14.126753485207267
0.11,equal,1.6,0.65,-0.3,True,1615.0112619976062,1828.0256624456454,13.18965418139324
0.11,equal,1.6,0.65,-0.18,True,1615.1234157672234,1828.70010288914,13.223552146970906
0.11,equal,1.6,0.65,-0.1,True,1615.8242184842852,1829.5671303509068,13.228104234452065
0.11,equal,1.6,0.8,-0.3,True,1621.3224110916935,1840.6248608134501,13.526146818268714
0.11,equal,1.6,0.8,-0.18,True,1618.803607443858,1841.9486998047018,13.784568513113026
0.11,equal,1.6,0.8,-0.1,True,1619.1581362908682,1843.362182025378,13.846951740495928
0.11,equal,1.6,1.0,-0.3,True,1631.8199655288654,1864.389765171802,14.252172700164367
0.11,equal,1.6,1.0,-0.18,True,1632.1887442678492,1860.7143177938049,14.00117323002772
0.11,equal,1.6,1.0,-0.1,True,1632.0025754776157,1863.144465360529,14.163083646805408
0.11,weak_front,1.1,0.65,-0.3,True,1617.1142929076395,1825.873080290465,12.90934031678541
0.11,weak_front,1.1,0.65,-0.18,True,1617.3626246679262,1826.0425849378894,12.902484395718549
0.11,weak_front,1.1,0.65,-0.1,True,1617.6107728511518,1826.8211341348244,12.93329426305223
0.11,weak_front,1.1,0.8,-0.3,True,1623.3472977058495,1839.2044944938307,13.297043528087627
0.11,weak_front,1.1,0.8,-0.18,True,1623.3298532954827,1839.1973356423987,13.297820027684981
0.11,weak_front,1.1,0.8,-0.1,True,1622.883894972582,1838.7943816139693,13.304124054113853
0.11,weak_front,1.1,1.0,-0.3,True,1633.7297715851537,1861.6373957372225,13.950142068534245
0.11,weak_front,1.1,1.0,-0.18,True,1633.1408446009727,1860.6026152885547,13.927872261572016
0.11,weak_front,1.1,1.0,-0.1,True,1632.9271596014669,1861.8475062710336,14.019017647145816
0.11,weak_front,1.35,0.65,-0.3,True,1618.357952082922,1826.6275540442134,12.869192609288692
